id,text,user_id,user_screen_name,user_name
1305386661392465921,"my aunt &amp; her entire family have corona, her daughter &amp; husband refuse to get tested &amp; they still go to work, they… https://t.co/cMt8oX2dRF",2590370720,ultsoheejun,steph⛅️
1305386580375339008,"Can someone please tell me what store has CORONA REFRESCA !!!!
I like truly lemonade but if you haven’t tried the r… https://t.co/9WbCtlptql",1554981901,_josieeeex3,JOSIE💋👑
1305386573157011456,@realDonaldTrump Trump's rallies are a crime considering what is going on! I just hope that he and his supporters w… https://t.co/hNUE8LsTdK,1065956224154419200,DetlefEngelbre1,Detlef Engelbrecht
1305386553259122698,"@PrakashJavdekar @DDNewslive @DG_NTA Inko jra sacchai batao yaar...ye log bhag kha ke baithe hai..!!
No mask was gi… https://t.co/eHdSRjWx83",1296740982877110273,Anshuma31008570,Anshuman Singh
1305386547009581057,@Rishabhprakash4 India right now only needs welcoming steps against low GDP nd worsening of CORONA cases,1271802270791766017,SojitraSweety,sweety sojitra
1305386524180017152,#Year2020 #CoronavirusPandemic ☮️😺 #2020Sucks Due to the #Corona #virus - There will be NO #Halloween or #Christmas… https://t.co/xrVcagcLnx,957504987554201600,JohnnyEAwesome,Johnny E. Awesome
1305386515820810242,@sureshsambandam This time of no college for students... Yes. We can see the big movement. But corona 🥺😭😭,922134109505314816,Iamnesan,WarriorNesan
1305386508149493760,"Do you ever fantasize about getting Corona and dying 👀no body can blame me, it won't be an easy death though",624753494,glassesNghutrah,Coco the cat
1305386490936135681,"Every thing you see is wrong, you see  right, you are born to be different
#coronamaatregelen
#Covid_19… https://t.co/eEwpnMBdyN",1299274336789028864,Ce62581086,Ce
1305386469092134913,"@business @QuickTake I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly throu… https://t.co/Ng8aMvucCL",714575242438565889,Robert_James105,Robert James
1305386445494837248,"‘Covid-19 made in Wuhan lab controlled by China govt’, claims virologist, offers evidence - world news - Hindustan… https://t.co/lZM6qKtWAW",913468010907688961,RaviLingaiah,Ravi L
1305386427861970946,"I'm waiting for someone to invent a cocktail named ""Covid 19"" and have it be just pure Corona",4327933950,theundeadsonic,Aubyn Sharp
1305386413408555010,@BombshellDAILY And the corona virus will get worse during fall and winter for the same reason that flu gets worse… https://t.co/tOLw7RLM7j,965039128109813762,13speedOD,Cassian Andor
1305386367745097728,@piersmorgan SARS/ MERS were corona virus and more dangerous than this strain.  What makes anyone think a vaccine will stop the next strain?,1092591472468054016,LiamDan82667947,Liam Daniels
1305386367715688448,"corona chronicles: day 184

cuffing season but it’s watching all your friends join up with campaigns until the election",1112850692236955649,dextlim,Dexter Lim
1305386361881604099,"Corona vaccine should first be tested on government officials, since they were first to take the tests. 😅😆",979747460741521408,patricia_kata,Patricia Kata
1305386358232424448,"Corona didn't break the system
It exposed a broken system.
#StaySafe #CoronaPandemic",1266613684991746052,Krishna_1707,_krishnagupta
1305386321347776513,"@wistohor @EduardEscala_ @vladimirpadrino I lost my job due to the corona virus  pandemic, but I am making a lot of… https://t.co/Qn8vQSiTuR",714575242438565889,Robert_James105,Robert James
1305386318227144705,Corona seltzer taste way better then white claws!,393817954,damn_jackiie,𝑱𝒂𝒄𝒒𝒖𝒆𝒍𝒊𝒏𝒆
1305386277269901313,@BlastonGame I think i should win because my birthday got skipped by corona,1301554983717003266,LayraJeff,Jeff Layra
1305386266045931520,I hope you're doing good today queen xoxo — Locations of meetings in my school changed due to corona and I didn't g… https://t.co/T0PGofLZqQ,1227170750978830336,LazyIsACunt,Lazy
1305386246454288390,12 important insights to remember for a good start into a new week. 🍀 #Moria #Corona #YOLO https://t.co/H0ajEwm91f,1217764260270526464,Kurtilette,Kurt Brand
1305386224383737856,This is the condition of RTPS Counter in motihari block in corona pandemic please do something for them ⁦@PMOIndia⁩… https://t.co/4022070D2C,729954348587978752,pranksumit,sumit kumar
1305386210668343296,Khurda Corona graph shows no signs of abatement. Khurda at No 1 in active cases ( 6984) followed by Cuttack &amp; Puri.… https://t.co/LqR6QdRSOx,20312166,soumyajitt,Soumyajit Pattnaik
1305386209045217280,"Mr Shrirang Appa Barne : In Maharashtra maximum impact of #Corona pandemic 

Center isn’t helping Maharashtra govt… https://t.co/SLu0LBnAYr",72283791,Supriya23bh,Supriya Bhardwaj
1305386169526439936,@globaltimesnews Chinese people don’t want war  but Xhinese evil corona regime want it but I like the way you put i… https://t.co/5u5rfY5H1G,814726692077912064,siddharthmath88,Siddharth Mathur
1305386163537096705,"@TheSciBabe I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the he… https://t.co/4PjNEgJZLO",714575242438565889,Robert_James105,Robert James
1305386138794962945,"Basically, the Corona we have in 2020, Ethiopia is not even part of it. Wait until they reach there seven years later. 😂😂",627383008,zack_diary,Zack Mayul
1305386130838355972,Evaluating Conferencing Solutions: Work in the Time of Corona via @amalgaminsights https://t.co/pbD3BIqM29 #audioconferencing,17466375,hyounpark,Hyoun Park (박현경)
1305386125087903745,"@business I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the help… https://t.co/ipSBXZZ0r6",714575242438565889,Robert_James105,Robert James
1305386111544549377,Watch under a Microscope – Your cells create a Corona Cell…Have we been Conned into Killing Our Immune System? https://t.co/sXCWmlt4YA,765923012185030656,phiyaatv,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Phiyaatv 🇪🇸
1305386096151461893,"OMG. PRESIDENT CORONA IS LIVING IN AN ALTERNATIVE UNIVERSE.

Trump: I’ve done more for Black Americans than anybody… https://t.co/b111hmwJsz",289118612,TomthunkitsMind,Tomthunkit™
1305386083933446144,"@Cointelegraph I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the… https://t.co/NZROVKbOIv",714575242438565889,Robert_James105,Robert James
1305386082897260545,"@RanaAyyub You are suffering from Corona right.
Don't change the topic lol",564750278,harmeevabamo,Jockey Chaddi
1305386070654230528,Corona trying to compete w thanos I C U,1177476561747865601,goldennharryyy,~*HT*~
1305386054271205378,@CaliAnon2 @SidneyPowell1 @jack @Twitter @realDonaldTrump @TheJusticeDept @KerriKupecDOJ @DonaldJTrumpJr @LLinWood… https://t.co/MvzfZSMQqK,1093733934242746368,Stars4P,Stars4Patriots
1305386037032689664,"@timthetatman I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the… https://t.co/P7YY5YHyTq",714575242438565889,Robert_James105,Robert James
1305386033320800257,"Ndine confession:
Ever since the Corona thingie I haven’t been making my bed on the daily. https://t.co/nnZGT8uKBo",1210212157079597056,MatshobaKwezi,0%Gimmicks
1305386027444580352,"@jam_kamal Its the prime duty of every citizen to counter this epidemic by being careful and following the SOPs , e… https://t.co/bssUMTlbvD",773161761386225664,nizam_Alizai,Engr Nizam Alizai
1305386008259723266,All these 'New Rules' are completely and uttterly BULLSHIT!  Sooner people realise its all about control the better… https://t.co/UtftfJsT4M,319673416,Rian_180,RL
1305385944061587457,It seems the states in Australia that have women leaders have responded much better to the corona virus. This reflects a world wide trend.,2204302633,nenehatum,Fia Clendinnen
1305385935995957249,send this to my mom lmao corona is such a lame way to die at least make my death a story worth telling,1255396794143514625,OUlJABORED,dani🍄
1305385913070104577,@dianemterry @Nick_Pye PCR test is testing now (or always?) for all corona viruses. The PCR test cannot differentiate between them.,1286448298966974464,Sky03413577,Sky
1305385910570082306,@arnabofficial7 Sir you can talk with modi action what is corona status for news why are you busy in ssr why its no… https://t.co/1apCftOoPy,1232605317768318976,Deepakn7755,Deepak
1305385905604235266,"@roowdeeel I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the hel… https://t.co/CtvPR1zg36",714575242438565889,Robert_James105,Robert James
1305385875304448000,"@GlobalPunjabTV Corona Update in India!

Confirmed: 4850887
Active: 990502
Recovered: 3779927
Deaths: 79784… https://t.co/JP5aDe73Aj",1054988224232349696,ELister_social,ELister Social (Covid-19 Dashboard & Blood Help)
1305385871047233536,"@The_vijju Corona Update in India!

Confirmed: 4850887
Active: 990502
Recovered: 3779927
Deaths: 79784… https://t.co/YuJ6079zBM",1054988224232349696,ELister_social,ELister Social (Covid-19 Dashboard & Blood Help)
1305385866806718464,"@PRO_Vizag Corona Update in India!

Confirmed: 4850887
Active: 990502
Recovered: 3779927
Deaths: 79784… https://t.co/iS4sssnBk5",1054988224232349696,ELister_social,ELister Social (Covid-19 Dashboard & Blood Help)
1305385866089476096,@KanganaTeam Where are the masks? Corona is still there!,2958160026,jhalaksrivastav,Jhalak Srivastav
1305385864885800960,ETHealthworld | Covid-19 cured count exceeds new corona infections in TN #CovidCases #CovidInfection #Covid19… https://t.co/A4mQDYp94m,2883051512,ETHealthWorld,ETHealthWorld
1305385864370020352,"@JoelOsteen I lost my job due to the corona virus  pandemic, but I am making a lot of profits weekly through the he… https://t.co/82OITx0jU1",714575242438565889,Robert_James105,Robert James
1305385863887478789,"@airnewsalerts Corona Update in India!

Confirmed: 4850887
Active: 990502
Recovered: 3779927
Deaths: 79784… https://t.co/vkQB4vatDm",1054988224232349696,ELister_social,ELister Social (Covid-19 Dashboard & Blood Help)
1305385862293680129,"@PRO_Vizag Corona Update in India!

Confirmed: 4850887
Active: 990502
Recovered: 3779927
Deaths: 79784… https://t.co/G4VFuWPgMv",1054988224232349696,ELister_social,ELister Social (Covid-19 Dashboard & Blood Help)
1305385841246822401,@starsandstripes @realDonaldTrump Watch out within 24 hours the media will be saying oh my God 125 people caught Corona to go to see Trump.,2558744079,JodyLangstraat,Jody Langstraat
1305385836813471746,i probably have corona and tom is cancelled i hate it here🤪,1262151505664229378,kevaIejandro,hannah
1305385809168613377,@COVIDNewsByMIB @DDNewslive @PMOIndia @HMOIndia @MoHFW_INDIA @drharshvardhan @PrakashJavdekar @PIBHomeAffairs… https://t.co/5yCrDLUs7o,2852686644,kumarjanak2,Janak Kumar
1305385799417040896,"Pick all the corona and take it to your peers. 
May this nation be cleaned https://t.co/IUZ4n5CoGQ",2783790188,joscar_noah,Amondi
1305385776188809216,"@OpIndia_com 26/11 has killed 166 people. But Corona has killed more than 80,000 Indians. Are you not questioning the government??",1204515145906454533,IslamForHumanit,Towards Truth
1305385749001498624,Just finished and I’m gonna start my review with a SPOILER ⚠️: I think the ending seen is pretty damn good. It’s a… https://t.co/qbo8QJDco3,1245202109470998537,Bliggyfruit,Sam
